Year,Source,URL,Letters,Words,Sentences,Paragraphs
2014,eju,https://eju.tv/2014/07/ministro-arce-bolivia-mantiene-un-crecimiento-fuerte-que-garantiza-el-pago-del-segundo-aguinaldo-este-ao/,1836,382,7,7
2014,opinion,https://www.opinion.com.bo/articulo/deportes/fbf-prescinde-nestor-clausen-coordinador/20141228194600509012.html,638,135,4,4
2014,eju,https://eju.tv/2014/12/bolivia-inunda-brasil-de-cocaina/,1290,261,10,1
2014,eju,https://eju.tv/2014/09/burlan-la-ley-en-los-yungas-revenden-gasolina-para-autos-chutos-hasta-en-bs-10/,10791,2259,88,38
2014,eju,https://eju.tv/2014/04/informe-del-pen-bolivia-sobre-la-libertad-de-expresin/,8768,1697,62,24
2014,eju,https://eju.tv/2014/05/disputas-evitan-la-legislacin-en-el-87-de-los-municipios-de-bolivia/,4302,847,42,16
2014,boliviaemprende,https://boliviaemprende.com/noticias/aniversario-de-chuquisaca-abre-con-hallazgos-de-potencial-hidrocarburifero-obras,2587,503,18,12
2015,eju,https://eju.tv/2015/03/un-proceso-que-consolida-liderazgos-en-bolivia/,2451,501,20,11
2015,pub,https://www.pub.eldiario.net/noticias/2015/2015_01/nt150118/sociedad.php?n=75&-centro-de-rehabilitacion-atiene-a-mas-de-300-personas-por-dia,2258,436,13,10
2015,la-razon,https://www.la-razon.com/tendencias/2015/10/11/pelea-por-wara/,3702,805,30,9
2015,eju,https://eju.tv/2015/03/46-de-la-poblacin-en-bolivia-ya-tiene-acceso-a-internet/,5038,1059,41,24
2015,eju,https://eju.tv/2015/06/a-80-aos-de-cese-de-la-guerra-del-chaco-evo-atribuye-contienda-con-paraguay-a-petroleras-y-no-a-pueblos/,1560,332,11,8
2015,pub,https://www.pub.eldiario.net/noticias/2015/2015_05/nt150510/cultural.php?n=60&-mana-desempolvo-sus-clasicos-en-las-vegas,2767,611,14,15
2015,late,https://www.late.com.bo/pando-sera-la-sede-de-las-finales-de-ajedrez/,1641,366,10,8
2015,ibce,https://ibce.org.bo/principales-noticias-bolivia/noticias-nacionales-detalle.php?id=59074,3690,841,16,9
2015,eju,https://eju.tv/2015/07/se-abren-cinco-frentes-de-conflicto-en-bolivia/,7800,1558,62,27
2015,eju,https://eju.tv/2015/08/logfire-trae-al-pais-software-para-manejo-de-inventarios/,836,164,5,3
2015,eabolivia,https://www.eabolivia.com/el-alto-noticias/23779-miss-upea-2015-es-noemi-jacqueline-velasquez.html,1436,297,12,9
2015,boliviaemprende,https://boliviaemprende.com/noticias/de-acuerdo-al-ranking-camel-el-bnb-es-el-mejor-banco,1405,271,6,5
2015,elnuevoherald,https://www.elnuevoherald.com/noticias/america-latina/article5403627.html,2595,504,17,10
2015,diarioenfermero,https://diarioenfermero.es/epm-realiza-formacion-de-medicos-tradicionales-indigenas-en-bolivia/,2877,556,14,9
2015,andina,https://andina.pe/agencia/noticia-el-papa-francisco-masticara-coca-su-visita-a-bolivia-562946.aspx,1665,373,14,9
2015,eju,https://eju.tv/2015/06/brotan-2-nuevas-zonas-de-contrabando-en-frontera-bolivia-argentina/,3947,833,33,16
2015,bbc,https://www.bbc.com/mundo/noticias/2015/12/151205_millonario_escandalo_corrupcion_partido_evo_morales_bm,4256,833,31,28
2015,es-us,https://es-us.noticias.yahoo.com/asesor-presidencial-peruano-detenido-bolivia-fuga-polic%C3%ADa-interpol-170702987.html,1098,225,7,6
2015,eju,https://eju.tv/2015/07/al-menos-23-pginas-web-del-estado-boliviano-fueron-hackeadas-en-6-meses/,5582,1108,53,25
2015,opinion,https://www.opinion.com.bo/articulo/cochabamba/reconstruyen-carretera-antigua-santa-cruz-bs-1000-millones/20150412195600518305.html,3667,741,24,20
2015,eju,https://eju.tv/2015/02/acuerdo-del-mercosur-afecta-la-exportacin-boliviana-de-soya/,4032,842,28,16
2015,la-razon,https://www.la-razon.com/financiero/2015/11/08/el-emprendimiento-boliviano-destaca-pero-muestra-fragilidad/,3976,786,19,14
2015,elnuevoherald,https://www.elnuevoherald.com/noticias/america-latina/article29801089.html,1909,394,12,11
2015,pub,https://www.pub.eldiario.net/noticias/2015/2015_10/nt151004/cultural.php?n=85&-tiwanaku-una-reliquia-abandonada,4499,937,31,16
2015,eju,https://eju.tv/2015/11/aumenta-precio-la-papa-pollo-tomate-la-arveja-mercados-la-paz/,1994,505,20,12
2015,eju,https://eju.tv/2015/07/morelia-herrera-barja-si-ganase-el-miss-bolivia-organizaria-conciertos/,3959,866,49,1
2015,lanacion,https://www.lanacion.com.ar/otros/la-paz-una-ciudad-a-la-altura-nid01022015/,6066,1306,50,15
2015,la-razon,https://www.la-razon.com/voces/2015/06/07/25-anos-de-la-razon/,2321,465,12,6
2015,opinion,https://www.opinion.com.bo/articulo/informe-especial/prueba-vih-es-gratuita-dura-15-minutos-centros-p-uacute-blicos/20150308191300669011.html#google_vignette,4051,881,46,28
2015,pub,https://www.pub.eldiario.net/noticias/2015/2015_05/nt150517/nacional.php?n=41&-plagas-afectan-cultivos-de-chirimoya-en-lloja,1093,220,9,5
2015,ibce,https://ibce.org.bo/principales-noticias-bolivia/noticias-nacionales-detalle.php?id=52934,3935,775,28,25
2015,late,https://www.late.com.bo/el-retorno-de-lampe-es-la-mejor-noticia-para-san-jose/,826,170,7,6
2016,eju,https://eju.tv/2016/03/caso-zapata-abogado-evo-morales-dice-hijo-materialmente-no-existe/,1914,409,14,1
2016,lostiempos,https://www.lostiempos.com/actualidad/nacional/20160925/hogar-ancianos-recibe-distincion-simbolos-patrios,1356,288,10,8
2016,eju,https://eju.tv/2016/01/los-oficialistas-les-veo-preocupados-alterados-nerviosos-dice-reyes-villa-desde-exilio/,2526,495,10,1
2016,mediaticadigital,https://www.mediaticadigital.com.ar/nota/14855-preocupante-de-casi-500-policias-solo-163-aprueban-test-psicologico/,1194,260,13,7
2016,eju,https://eju.tv/2016/08/gracias-santa-cruz-cobijar-fuerzas-armadas-comandante-gonzalo-duran/,1071,221,6,1
2016,pub,https://www.pub.eldiario.net/noticias/2016/2016_04/nt160403/principal.php?n=90&-santa-cruz-eligio-a-sus-soberanas,445,90,3,2
2016,pub,https://www.pub.eldiario.net/noticias/2016/2016_09/nt160904/nacional.php?n=36&-movilizacion-por-conservacion-de-patrimonio-natural-en-santa-cruz,2459,490,11,7
2016,la-razon,https://www.la-razon.com/economia/2016/02/14/otras-entidades-se-disolvieron-voluntariamente-2/,1704,344,15,9
2016,pub,https://www.pub.eldiario.net/noticias/2016/2016_05/nt160522/nacional.php?n=47&-ejecutivo-inicio-investigacion-de-la-fiesta-del-gran-poder,2573,503,17,8
